id,caducidad,precio,unidades,nombre
1,15-01-2025,15,100,Yogurt
2,17-02-2026,10,80,Galletas
3,16-12-2050,20,6000,Atun
4,01-10-2023,20,100,Refresco
5,06-07-2023,15,100,Jugo
6,20-12-2022,3,250,Manzana
7,20-12-2022,2,250,Pera
8,20-12-2022,4,0,Fresa
9,20-12-2022,5,250,Platano
10,11-12-2025,50,1,Cereal
11,13-09-2023,10,50,Ensalada
12,12-12-2022,100,6,Pollo
13,05-11-2025,12,500,Papas
1651,11-09-2050,50,50,Jarabe
8561,16-12-2022,150,6,Pez
39562,15-06-2026,15,651,Chetos
1546,30-12-2022,50,63,Salchicas
51646,25-12-2022,20,14,Pan de muerto
1656,06-06-2026,200,30,Chocola amargo
516516,09-11-2025,500,50,Chocolate
64815,11-06-2024,100,36,Helado
4816598,03-11-2023,150,100,Helado napolitano
999645,11-06-2025,100,36,Helado vainilla
89847915,01-01-2023,500,423,Rosca
561,20-12-2022,1,1000,Uvas
100,22-12-2030,15,600,Dulces
101,07-07-2025,15,500,Salsa roja
0,11-02-2033,13,600,Salsa verde
68,11-12-2023,15,900,Salsa naranja
7498,16-12-2022,50,60,Sandia
36,15-05-2023,30,600,Jamaica
16,11-06-2023,12,1050,Agua de mandarina
978,11-08-2023,15,200,Agua de fresa y coco
63,11-03-2025,5,500,Agua de durazno
96,26-12-2022,6,5000,Durazno
543,11-03-2025,25,143,Mermelada
8416,11-09-2025,25,360,Mayonesa
7841,25-12-2022,1,7000,Cacahuates
9875,06-01-2023,100,50,Piña
8455,26-12-2022,25,36,Coco
33,11-10-2030,25,9000,Gimitas con chile
34,11-10-2030,25,5000,Gomitas
75,11-06-2023,45,1,Dulces duros
102,25-12-2022,50,11000,Chocolates de piedra
14,11-01-2023,36,50,Jalea
45,23-12-2022,2,600,Guayaba
83,01-01-2023,50,6,Pechuga de pollo
17,01-02-2023,60,600,Pollo congelado
93,03-05-2023,50,0,Dona
37,15-12-2022,5,26,Concha
38,15-12-2022,4,1,Cuerno de chocolate
39,22-12-2022,1,6000,Uvas con semilla
562,12-12-2022,3,0,Camaron
560,13-12-2022,20,50,Ramen
5222,12-12-2022,20,600,Flores
189,05-08-2023,500,30,Chocolates rellenos
694981,12-03-2026,20,60,Jugo de lima
71,11-19-2050,20,90000,Agua natural
72,26-10-2030,5,6000,Agua purficada
73,06-06-2023,10,500,Chicle
1698,16-01-2021,25,60,Bebida energisante
66,06-12-2050,12,9000,Guisantes
65,12-03-2050,20,5600,Frijoles
64,12-03-2050,1,112000,Frijol
186,03-05-2025,15,500,Café
40,12-12-2022,30,5,Leche
41,16-05-2024,20,36,Leche deslactosada
15,03-12-2030,35,50,Crema
69,28-03-2050,35,6000,Sardina
56,08-08-2023,50,36,Helado con galleta
6479,11-02-2023,30,50,Chocolate de fresa
984,15-12-2022,3,500,Kiwi
68741,05-01-2023,175,30,Carne congelada
74618,05-11-2023,50,500,Azucar
846,12-09-2024,14,300,Salsa de tomate
